material_name,melting_temperature_c,specific_heat_j_per_kg_k,density_g_per_cm3,cte_1e_minus_6_per_k,delta_T_safe_c,melting_temperature_range,specific_heat_range,density_range,cte_range
316L,1385.0,475.0,7.98,16.16,1360.0,1371–1399,450–500,7.97–7.99,15.72–16.6
AlSi10Mg,580.0,905.0,2.665,20.5,555.0,570–590,840–970,2.65–2.68,20–21
Inconel 718,1299.5,447.5,8.205,13.55,1274.5,1257–1342,435–460,8.15–8.26,13.0–14.1
PA12,177.5,1435.0,0.9850000000000001,149.0,152.5,170–185,1170–1700,0.93–1.04,100–198
Ti-6Al-4V,1650.0,553.0,4.415,8.5,1625.0,1635–1665,526–580,4.41–4.42,8.0–9.0
