material_name,specific_heat_j_per_kg_k,density_g_per_cm3,cte_1e_minus_6_per_k,melting_temperature_c,delta_T_safe_c,kappa_mat,reference_alpha_L,reference_delta_T,melting_temperature_range,specific_heat_range,density_range,cte_range
PA12,1435.0,0.9850000000000001,149.0,177.5,152.5,8.77824007319606,16.16,1274.5,170–185,1170–1700,0.93–1.04,100–198
316L,475.0,7.98,16.16,1385.0,1360.0,0.9680559658104362,16.16,1274.5,1371–1399,450–500,7.97–7.99,15.72–16.6
Ti-6Al-4V,553.0,4.415,8.5,1650.0,1625.0,0.6422912740580787,16.16,1274.5,1635–1665,526–580,4.41–4.42,8.0–9.0
AlSi10Mg,905.0,2.665,20.5,580.0,555.0,1.7067883924832992,16.16,1274.5,570–590,840–970,2.65–2.68,20–21
Inconel 718,447.5,8.205,13.55,1299.5,1274.5,0.9156910499780485,16.16,1274.5,1257–1342,435–460,8.15–8.26,13.0–14.1
