material_name,H_crit,quantile_q,H_thres,kappa_mat,specific_heat_j_per_kg_k,density_g_per_cm3,cte_1e_minus_6_per_k,melting_temperature_c,delta_T_safe_c,reference_alpha_L,reference_delta_T
PA12,1.35,0.09137055837563451,0.0011071112728471679,8.77824007319606,1435.0,0.9850000000000001,149.0,177.5,152.5,16.16,1274.5
316L,1.35,0.09137055837563451,0.0004128410780603221,0.9680559658104362,475.0,7.98,16.16,1385.0,1360.0,16.16,1274.5
Ti-6Al-4V,1.35,0.09137055837563451,0.0006409491341934556,0.6422912740580787,553.0,4.415,8.5,1650.0,1625.0,16.16,1274.5
AlSi10Mg,1.35,0.09137055837563451,0.0006488340183834443,1.7067883924832992,905.0,2.665,20.5,580.0,555.0,16.16,1274.5
Inconel 718,1.35,0.09137055837563451,0.0004261944396590581,0.9156910499780485,447.5,8.205,13.55,1299.5,1274.5,16.16,1274.5
