scheme_name,layer_count,travel_distance_mm,travel_time_s,scan_time_s,laser_on_time_s,intra_layer_total_time_s,inter_layer_change_time_s,inter_part_transfer_distance_mm,inter_part_transfer_time_s,total_task_time_s,cell_count,mu_mean,mu_top10_mean,xi_mean,xi_max,theta_mean,theta_top10_mean,phi_mean,phi_top10_mean,phi_max,scan_heat_mean,peak_heat_max,final_heat_mean,R_mu,R_xi,R_theta,R_phi,weighted_sum_total_risk,weighted_sum_rank,topsis_score,topsis_rank,material_name
center_out,12,6201.720900000001,3.4454005,2.2066666666666666,5.91,11.562067166666667,7.5,300.0,0.16666666666666666,19.228733833333333,394,0.003584953882992413,0.007769197913643007,7.750457597835978,18.294108308708417,9.891349496335634,95.379792538906,0.00027383564423321175,0.000390962753182034,0.0004319740683374129,0.0014777082589105001,0.002354337280918463,0.001957980360478692,0.007632979750184986,8.051689443255146,51.51631568945827,0.0003586664556838894,19.642664642525375,4,0.08162639871391103,4,PA12
minimum_time,12,1552.0,0.8622222222222222,2.2066666666666666,5.91,8.97888888888889,7.5,300.0,0.16666666666666666,16.645555555555557,394,0.0035915329458760326,0.006925553362454406,8.496034478650214,18.062419579600537,6.244273080053569,61.50608983852766,0.0001873667466620926,0.00035394507997401546,0.000569143122745806,0.0014837828914829468,0.002613232525236976,0.002016827698712079,0.006817014248877123,8.769345869265434,33.15166748886932,0.000380939208016933,13.358411432609127,3,0.593975398697498,3,PA12
row_major,12,2789.6817,1.5498231666666666,2.2066666666666666,5.91,9.666489833333333,7.5,300.0,0.16666666666666666,17.3331565,394,0.0035268555692417256,0.007181995681418807,8.712774744474132,17.975900335125242,4.221553065980977,41.58229769991262,0.00019974018404306416,0.00031867047620331507,0.00039177263256755723,0.0014823843390817533,0.0025337082211015715,0.002003934486191003,0.007063002508550471,8.977422018225717,22.412780756990454,0.00030050174182094734,9.641445394528967,2,0.9303937207544091,2,PA12
serpentine,12,1900.7531999999999,1.055974,2.2066666666666666,5.91,9.172640666666666,7.5,300.0,0.16666666666666666,16.839307333333334,394,0.003540298569499876,0.007160843428322609,8.713858895542838,17.903766278001324,4.160639360397221,40.98229769991262,0.00019712535727403756,0.00034344145096287386,0.0003877028515985415,0.0014834680062755748,0.002542835856358274,0.0020118856431885325,0.007042976504746087,8.976414326859866,22.089381878187694,0.00029985635871641154,9.528050082128294,1,0.9323349939885555,1,PA12
center_out,12,6201.720900000001,3.4454005,2.2066666666666666,5.91,11.562067166666667,7.5,300.0,0.16666666666666666,19.228733833333333,394,0.0005965278045874594,0.0009965844443535817,3.6788752656556083,6.322015540761652,4.053534218099425,37.877312048279336,0.0001021131347401501,0.00014578975796173996,0.00016108285087540545,0.0005510364546269673,0.0008779308503221811,0.0007301296108765649,0.0009885020021659096,3.8621512864761804,18.045707976741213,0.00013374648949948168,7.088659186177467,4,0.174415314440902,4,316L
minimum_time,12,1552.0,0.8622222222222222,2.2066666666666666,5.91,8.97888888888889,7.5,300.0,0.16666666666666666,16.645555555555557,394,0.0006093173563044525,0.0008874478173529331,3.8659884257158943,6.201158157015846,3.6603707998563206,36.054652378584755,6.986893872528726e-05,0.00013198589154894382,0.00021223310260470342,0.0005533016811868773,0.0009744727195909076,0.0007520737452676577,0.0008818286795894177,4.0279096904796905,17.06119252094454,0.00014205198444841962,6.777211199158557,3,0.27411421286254023,3,316L
row_major,12,2789.6817,1.5498231666666666,2.2066666666666666,5.91,9.666489833333333,7.5,300.0,0.16666666666666666,17.3331565,394,0.0006040204213288969,0.0008804609577960847,3.9264728422315516,6.295124617824692,3.139228060236675,30.921396393331246,7.448298552704662e-05,0.00011883201460268587,0.0001460917614611337,0.0005527801619004305,0.0009448181579795661,0.0007472658746521114,0.0008748759619924123,4.090715760486383,14.632117135496637,0.00011205690529491183,5.939587138939821,2,0.8837204133176281,2,316L
serpentine,12,1900.7531999999999,1.055974,2.2066666666666666,5.91,9.172640666666666,7.5,300.0,0.16666666666666666,16.839307333333334,394,0.0006059098643478592,0.0008782443354594223,3.926164326718368,6.287334125597239,3.0783143546529184,30.32139639333125,7.350791831497698e-05,0.00012806909507973832,0.00014457414276830202,0.0005531842606965752,0.0009482218472671183,0.0007502308559572382,0.0008727422954988901,4.08988844279952,14.348194955216595,0.00011181624235237566,5.8400484254054,1,0.9014005025023855,1,316L
center_out,12,6201.720900000001,3.4454005,2.2066666666666666,5.91,11.562067166666667,7.5,300.0,0.16666666666666666,19.228733833333333,394,0.0008781895340045674,0.0014306246276615676,3.5090485694919655,5.907469195458179,3.810037513223615,35.478869505252604,0.00015853394630443193,0.0002263433173338366,0.00025008633900262914,0.0008555019286394277,0.00136301605702499,0.0011335498495911804,0.001418525557693164,3.7013310482272956,16.45930127905303,0.00020764575329778893,6.501357273863882,4,0.19389471917627743,4,Ti-6Al-4V
minimum_time,12,1552.0,0.8622222222222222,2.2066666666666666,5.91,8.97888888888889,7.5,300.0,0.16666666666666666,16.645555555555557,394,0.0008987150646489852,0.0012717152235787038,3.6728680709976156,5.794536655682107,3.5525956029783514,34.993066689336764,0.00010847378849360796,0.00020491236800250327,0.00032949876015438416,0.0008590187661817281,0.0015129004333858296,0.0011676188283969683,0.0012635460194985618,3.8429632119838493,16.110646742767187,0.0002205403029912961,6.407626846644932,3,0.237837025960132,3,Ti-6Al-4V
